,Unnamed: 0,class,DT,KNN,SVM,LR,NB,RF,XGB
0,0,Normal,0.9962978589383232,0.9839057515105066,0.9813689349407192,0.9824298101106272,0.4296530261507734,0.9973714346745147,0.9976616378031264
1,1,Reconnaissance,0.991893162058432,0.9761030847325264,0.938647412360772,0.9418523533998112,0.6881291547958215,0.9947802197802199,0.995211179149003
2,2,Weaponization,0.9994425242501952,0.9817954929163916,0.973512390562398,0.9873183717232964,0.771404231151498,0.9998141333035947,0.9997769350881106
3,3,Exploitation,0.9489795918367344,0.7590361445783134,0.7976878612716763,0.7880299251870324,0.1293134762077733,0.9827160493827161,0.9826302729528535
4,4,Lateral Movement,0.9878260869565216,0.9578463770452164,0.9712520788785934,0.9635705669481304,0.2716293151676703,0.9901037509976058,0.9914176732358551
5,5,Comand and Control,0.9398230088495576,0.7638483965014579,0.7674190382728164,0.81438127090301,0.0333432215959655,0.9429864253393665,0.9585585585585585
6,6,Exfiltration,0.9976295292922452,0.965648854961832,0.9624497094322754,0.9831876260928044,0.6994937122325657,0.9994353472614341,0.9992094861660079
7,7,Tampering,0.9975502204801568,0.8746608790016278,0.9635036496350364,0.9695181907571288,0.649583600256246,0.9965736661771902,0.9950884086444007
8,8,Crypto-ransomware,0.989010989010989,0.9723756906077348,0.9090909090909092,0.8705882352941177,0.3345588235294118,0.994475138121547,0.994475138121547
9,9,RDOS,0.9999646055286164,0.9994516089087018,0.9989559185262524,0.999221238938053,0.992797647348865,0.9999823018246818,0.9999823018246818
