,0,DT,LR,NB
0,Normal,0.9965824868797213,0.9819243897575453,0.47560086744472735
1,Reconnaissance,0.992679871604165,0.9385029484887711,0.39328407770214174
2,Weaponization,0.9992197079478319,0.9716037073963294,0.8035125421468006
3,Exploitation,0.9558823529411765,0.8475452196382429,0.03577148958889482
4,Lateral Movement,0.987107490310844,0.9696390150609611,0.3205136395579122
5,Comand and Control,0.9496910856134158,0.8340498710232158,0.04385210662080825
6,Exfiltration,0.998305276239973,0.9628798923404732,0.7666344379010283
7,Tampering,0.9975478175576262,0.9539505574406205,0.6460261729971273
8,Crypto-ransomware,1.0,0.9222222222222223,0.41647597254004576
9,RDOS,0.9999646042758035,0.9989911682979062,0.9588129956510616
