,Unnamed: 0,0,DT,LR,NB,KNN,SVM,XGB,RF
0,0,Normal,0.9965476056070212,0.9819486962947324,0.4607310795201324,0.9838566782216779,0.9825571172353968,0.9976854049947773,0.9973302641258691
1,1,Reconnaissance,0.9926961561808534,0.9391897444325746,0.2393845089903181,0.9754223071821481,0.942103754657495,0.995506014875287,0.9948776323278316
2,2,Weaponization,0.9993682411089226,0.972531332027062,0.8720181213279535,0.9821172841772848,0.9893016344725112,0.9996282804252472,0.9997026243401977
3,3,Exploitation,0.962962962962963,0.8511749347258485,0.0301875513711425,0.8363636363636363,0.825,0.972568578553616,0.965174129353234
4,4,Lateral Movement,0.98718557190318,0.9704170321345984,0.3148067467479927,0.9556131540579945,0.9626100298796737,0.9910856415154409,0.988970588235294
5,5,Comand and Control,0.9520426287744228,0.8300258843830889,0.097620500305064,0.8101487314085738,0.8114754098360656,0.9571428571428572,0.9504950495049505
6,6,Exfiltration,0.9986440677966102,0.9636180454494572,0.8862311557788944,0.9690837549184935,0.9854618653545067,0.9992091289119874,0.9992093075793516
7,7,Tampering,0.9975478175576262,0.9557266602502406,0.6475279106858054,0.8800430338891877,0.9585971748660497,0.9980372914622179,0.998530132288094
8,8,Crypto-ransomware,1.0,0.931818181818182,0.5321637426900584,0.9777777777777779,0.9310344827586207,1.0,1.0
9,9,RDOS,0.9999823024511104,0.9990620631072256,0.915819227395302,0.9995754316444948,0.9986540096344573,0.9999823024511105,1.0
