,Unnamed: 0,0,DT,LR,NB
0,0,Normal,0.995656675035996,0.9640348042559812,0.45846190255135943
1,1,Reconnaissance,0.9916564081520994,0.9213801020931138,0.277100361784805
2,2,Weaponization,0.9992939690089554,0.9683167584753596,0.8718875075266532
3,3,Exploitation,0.9655172413793104,0.4980132450331126,0.033801874163319943
4,4,Lateral Movement,0.982936227097586,0.9240496800903276,0.31786542923433875
5,5,Comand and Control,0.9273840769903764,0.3541734860883797,0.09779951100244498
6,6,Exfiltration,0.9984180790960452,0.9633691599034876,0.8856770049181972
7,7,Tampering,0.990234375,0.9410125406409662,0.6457800511508951
8,8,Crypto-ransomware,0.977777777777778,0.917525773195876,0.5454545454545454
9,9,RDOS,0.9998938241019288,0.9992215420544212,0.9150690277574516
